Folio,Rank,Recipe,Overlap,Overlap_Ingredients,F1_pct,Folio_Coverage_pct,Recipe_Coverage_pct,Structural_Sim_pct,Recipe_N_Ingredients
f112r,2,Electuarium Justinum,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,57.1,85.7,42.9,6.2,14
f112r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Cardamomum | Casia | Cinnamomum | Crocus | Piper longum,52.6,71.4,41.7,5.4,12
f112r,4,Antidotum Hadriani,5,Casia | Cinnamomum | Crocus | Myrrha | Piper longum,52.6,71.4,41.7,5.4,12
f112r,5,Theodoricon Euporistum,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,50.0,85.7,35.3,7.6,17
f112v,1,Antidotum Hadriani,6,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,60.0,75.0,50.0,5.1,12
f112v,2,Paulinum,6,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,57.1,75.0,46.2,5.5,13
f112v,3,Trifera Saracenica,6,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,54.5,75.0,42.9,5.9,14
f112v,4,Electuarium Justinum,6,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,54.5,75.0,42.9,5.9,14
f112v,5,Theriac Abulcasis (contra venenos),6,Crocus | Galbanum | Mel despumatum | Myrrha | Piper longum | Zingiber,54.5,75.0,42.9,5.9,14
f113r,1,Electuarium Justinum,9,Amomum | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.2,75.0,64.3,4.5,14
f113r,2,Theodoricon Euporistum,9,Amomum | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,62.1,75.0,52.9,5.5,17
f113r,3,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,61.5,66.7,57.1,4.5,14
f113r,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,58.3,58.3,58.3,3.9,12
f113r,5,Paulinum,7,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,56.0,58.3,53.8,4.2,13
f113v,1,Electuarium Justinum,10,Amomum | Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,80.0,90.9,71.4,5.4,14
f113v,2,Trifera Saracenica,9,Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,72.0,81.8,64.3,5.4,14
f113v,3,Theodoricon Euporistum,10,Amomum | Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,71.4,90.9,58.8,6.6,17
f113v,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),8,Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,69.6,72.7,66.7,4.7,12
f113v,5,Paulinum,8,Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,66.7,72.7,61.5,5.1,13
f114r,1,Philonium Romanum,7,Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,70.0,77.8,63.6,4.3,11
f114r,2,Trifera Saracenica,8,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,5.4,14
f114r,3,Electuarium Justinum,8,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,5.4,14
f114r,4,Theriac Abulcasis (contra venenos),8,Cinnamomum | Crocus | Mel despumatum | Myrrha | Opopanax | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,5.4,14
f114r,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,66.7,77.8,58.3,4.7,12
f114v,1,Trifera Saracenica,6,Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,54.5,75.0,42.9,6.1,14
f114v,2,Electuarium Justinum,6,Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,54.5,75.0,42.9,6.1,14
f114v,3,Theriac Abulcasis (contra venenos),6,Cinnamomum | Crocus | Galbanum | Myrrha | Piper longum | Piper nigrum,54.5,75.0,42.9,6.1,14
f114v,4,Philonium Romanum,5,Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,52.6,62.5,45.5,4.8,11
f114v,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Cardamomum | Cinnamomum | Crocus | Piper longum | Piper nigrum,50.0,62.5,41.7,5.2,12
f115r,1,Electuarium Justinum,6,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum,52.2,66.7,42.9,5.5,14
f115r,2,Theodoricon Euporistum,6,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum,46.2,66.7,35.3,6.6,17
f115r,3,Suffuf al-Tib (Polvo aromatico de Avicena),4,Cardamomum | Casia | Crocus | Rosa,44.4,44.4,44.4,3.5,9
f115r,4,Trifera Saracenica,5,Cardamomum | Casia | Crocus | Myrrha | Piper longum,43.5,55.6,35.7,5.5,14
f115r,5,Electuarium Diacostum,4,Amomum | Cardamomum | Casia | Piper longum,40.0,44.4,36.4,4.3,11
f115v,1,Diasatyrion,8,Cardamomum | Cinnamomum | Crocus | Galanga | Mel despumatum | Nux moschata | Piper longum | Zingiber,59.3,61.5,57.1,5.3,14
f115v,2,Trifera Saracenica,8,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,59.3,61.5,57.1,5.3,14
f115v,3,Electuarium Justinum,8,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,59.3,61.5,57.1,5.3,14
f115v,4,Theriac Abulcasis (contra venenos),8,Cinnamomum | Crocus | Galbanum | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,59.3,61.5,57.1,5.3,14
f115v,5,Trifera Magna,12,Bdellium | Cardamomum | Cinnamomum | Crocus | Cubeba | Galanga | Mel despumatum | Myrrha | Nux moschata | Piper longum | Piper nigrum | Zingiber,58.5,92.3,42.9,10.5,28
f116r,1,Trifera Magna,10,Amomum | Bdellium | Cardamomum | Casia | Crocus | Cubeba | Galanga | Myrrha | Nux moschata | Piper longum,52.6,100.0,35.7,12.1,28
f116r,2,Suffuf al-Tib (Polvo aromatico de Avicena),5,Cardamomum | Casia | Crocus | Galanga | Nux moschata,52.6,50.0,55.6,3.9,9
f116r,3,Electuarium Justinum,6,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum,50.0,60.0,42.9,6.0,14
f116r,4,Diamargariton (Electuario de Perlas),6,Cardamomum | Casia | Crocus | Cubeba | Galanga | Nux moschata,46.2,60.0,37.5,6.9,16
f116r,5,Diarodon Abbatis,6,Cardamomum | Casia | Crocus | Cubeba | Galanga | Nux moschata,46.2,60.0,37.5,6.9,16
f116v,1,Theriac Magna (Triaca de Andromachus),0,,0,0,0.0,3.1,64
f116v,2,Mithridatium,0,,0,0,0.0,3.7,54
f116v,3,Diascordium,0,,0,0,0.0,14.3,14
f116v,4,Pillulae Cochiae,0,,0,0,0.0,40.0,5
f116v,5,Pillulae Aureae,0,,0,0,0.0,28.6,7
